,a,b,sim_score
992,%,>,0.09547601640224401
989,%,@,0.096044994890689
1861,%,B,0.019389696419239003
1606,%,C,0.038234159350395
2092,%,E,0.00276780873537
700,%,G,0.134718522429466
1421,%,M,0.05242748558521201
1261,%,N,0.06640226393938001
1130,%,Q,0.08048464357852901
1286,%,S,0.064484365284442
1503,%,U,0.045310705900192004
1269,%,V,0.065800815820693
1487,%,W,0.046797402203083004
1304,%,X,0.062284749001264
2029,%,Y,0.0062676575034850005
212,%,Z,0.264018774032592
852,%,\,0.113359227776527
755,%,a,0.126038208603858
1274,%,b,0.065405443310737
1719,%,c,0.029948834329843
339,&,*,0.215303510427474
2048,&,+,0.005104886367917
2084,&,0,0.003328157588839
1814,&,2,0.023101776838302
205,&,3,0.267914652824401
1302,&,6,0.06275533139705601
146,&,8,0.30254030227661105
420,&,9,0.18874248862266502
1424,&,;,0.052120447158813005
36,&,<,0.44800275564193703
983,&,=,0.09689868986606501
192,&,>,0.273649156093597
104,&,@,0.34083059430122303
331,&,A,0.216901987791061
459,&,B,0.17555721104145
1516,&,E,0.044208742678165006
1002,&,G,0.094278402626514
1488,&,I,0.046747967600822005
584,&,K,0.15197785198688502
1639,&,N,0.035419303923845
706,&,O,0.13432748615741702
1523,&,P,0.043672613799571006
168,&,Q,0.28756618499755804
74,&,R,0.378756254911422
231,&,S,0.25676694512367204
288,&,W,0.22923713922500602
105,&,X,0.340725839138031
1661,&,\,0.034681446850299
102,&,a,0.341439962387084
1975,',(,0.011405791155993002
526,',*,0.16444817185401903
1030,',+,0.09032379090785901
111,',",",0.328963935375213
198,',-,0.269526600837707
252,',.,0.24828790128231001
1212,',/,0.07183253765106201
1594,',1,0.039025362581014
1459,',5,0.049052745103836004
925,',7,0.10333269834518401
562,',:,0.15807917714118902
1007,',;,0.09402862936258301
2000,',<,0.009787557646632
1081,',=,0.085928089916706
464,',?,0.175183117389678
1253,',C,0.06724669784307401
999,',F,0.094665415585041
1310,',I,0.061796810477972
1936,',J,0.014296028763055002
941,',T,0.101417489349842
648,',V,0.14373630285263
2063,',W,0.0043917559087270006
929,',Y,0.10280367732048001
1981,',[,0.011062987148761002
1386,',\,0.055547848343849
883,',c,0.109695017337799
411,(,),0.190570309758186
2042,(,*,0.005454162135720001
1995,(,+,0.010148210451006001
1688,(,",",0.032222103327512006
831,(,.,0.11593522131443001
432,(,/,0.18550412356853402
1577,(,1,0.040225669741630006
1686,(,2,0.032267592847347
587,(,4,0.15166004002094202
1189,(,5,0.07438465952873201
196,(,6,0.27104490995407104
1032,(,:,0.090185523033142
2134,(,;,0.0006435327231880001
914,(,<,0.105848357081413
53,(,C,0.41956719756126404
559,(,G,0.158487871289253
754,(,I,0.126153364777565
736,(,J,0.12927329540252602
1901,(,K,0.017029464244842002
793,(,L,0.121862515807151
1036,(,T,0.08992248773574801
1498,(,V,0.04584937915205901
1967,(,X,0.011871001683175002
1518,(,Y,0.044006526470184
1625,(,Z,0.036407802253961
13,(,[,0.5394046902656551
1678,(,\,0.032992325723171005
1170,(,],0.076722890138626
219,(,c,0.261219441890716
1495,),.,0.046093307435512
721,),/,0.13118952512741
417,),0,0.18942223489284502
647,),1,0.143900528550148
1378,),2,0.055987667292356005
817,),3,0.11804700642824101
867,),7,0.111370369791984
1258,),8,0.066790014505386
1315,),9,0.061441488564014005
703,),:,0.13455495238304102
261,),;,0.242871761322021
307,),>,0.222576171159744
915,),?,0.10540073364973
522,),@,0.16504618525505002
1317,),B,0.061291240155696
1078,),D,0.086007751524448
851,),G,0.113405592739582
452,),I,0.17709583044052102
665,),J,0.141262173652648
362,),O,0.207524970173835
1015,),P,0.093329235911369
1511,),R,0.044450044631958
971,),S,0.097782343626022
2049,),T,0.004956152290105
975,),\,0.097606889903545
28,),],0.46897229552268904
729,),a,0.13055440783500602
2072,),b,0.0040734959766260005
51,*,+,0.425003975629806
1679,*,",",0.032969262450933005
479,*,-,0.172997176647186
418,*,.,0.189321726560592
1916,*,/,0.015793088823556
1392,*,0,0.055148966610431005
717,*,4,0.131675735116004
1276,*,6,0.065268099308013
